Filename,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
PRINCE.txt,1,607,60.88,94.66,19.39,1.41,13.80,14.17,83.69,51.24,18.12,10.87,1.65,1.81,4.45,1.98,0.99,7.25,4.94,13.18,6.10,3.46,6.10,0.99,13.18,3.79,1.15,2.64,0.49,1.98,8.73,2.80,5.93,0.82,3.29,1.32,14.50,0.16,0.33,0.66,2.80,6.92,1.65,1.81,0.16,0.66,1.32,1.65,3.62,1.65,1.15,0.82,3.29,2.14,0.99,0.00,0.00,5.44,2.47,0.49,2.47,0.16,0.16,1.81,9.56,2.47,13.01,2.47,5.11,5.27,0.66,0.33,0.16,1.15,0.66,1.48,0.33,0.33,0.00,0.00,0.00,0.00,23.23,5.27,11.20,0.16,0.49,1.81,0.33,0.66,0.00,2.64,0.00,0.66
THIRD MUSICIAN.txt,1,7,28.22,1.00,99.00,99.00,7.00,0.00,100.00,57.14,28.57,14.29,14.29,0.00,0.00,0.00,0.00,14.29,0.00,14.29,0.00,0.00,0.00,14.29,28.57,0.00,0.00,14.29,0.00,0.00,14.29,14.29,0.00,0.00,0.00,0.00,14.29,0.00,0.00,0.00,0.00,28.57,14.29,0.00,0.00,0.00,0.00,14.29,14.29,0.00,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.57,14.29,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
PETER.txt,1,246,23.78,74.24,40.20,78.02,8.48,10.16,81.71,52.85,22.76,19.92,10.57,0.00,7.32,2.03,0.00,2.85,3.66,8.54,8.54,2.03,7.32,2.03,14.63,1.63,1.22,2.44,0.00,0.81,6.10,4.47,1.63,0.00,0.41,0.41,13.41,0.00,0.00,1.63,1.63,4.88,0.41,2.03,1.22,1.22,0.00,1.63,9.35,0.81,8.13,0.41,2.03,1.22,0.81,0.00,0.00,2.85,0.41,0.41,2.03,0.81,0.00,1.22,8.13,6.91,10.16,2.03,4.07,4.47,0.41,4.47,0.00,0.81,0.81,0.00,2.03,0.00,2.03,0.00,0.00,0.00,32.11,8.13,9.35,0.00,0.41,2.85,0.81,0.81,3.66,6.10,0.00,0.00
TYBALT.txt,1,270,45.11,90.87,18.21,1.72,10.80,11.48,82.96,54.44,23.33,16.67,6.67,1.11,5.93,2.22,0.74,6.67,5.56,11.11,6.67,3.70,3.70,1.48,11.48,2.22,1.48,2.22,1.11,0.37,8.89,2.96,5.93,0.74,4.07,0.74,17.41,1.11,0.37,0.00,5.56,5.56,0.74,1.48,0.37,0.74,0.37,2.59,1.85,0.37,0.74,0.00,1.85,1.11,0.37,0.00,0.37,6.67,3.33,0.74,2.22,1.11,0.00,0.37,9.63,2.59,8.15,2.96,2.96,2.22,0.74,1.11,0.37,0.00,0.74,0.74,0.74,0.37,0.00,0.00,0.37,0.00,25.93,7.78,12.59,1.85,0.37,1.48,0.00,0.37,0.00,1.48,0.00,0.00
GREGORY.txt,1,152,39.18,96.19,25.80,9.56,8.44,8.55,83.55,57.89,19.08,15.79,2.63,1.97,8.55,0.00,2.63,3.29,5.26,12.50,7.24,3.95,8.55,3.29,17.76,3.95,2.63,0.66,0.66,0.00,3.95,1.32,2.63,0.66,0.00,0.00,16.45,0.66,0.00,0.66,1.32,7.24,1.32,1.32,2.63,1.32,0.66,3.29,2.63,0.66,0.66,0.66,3.29,1.32,1.97,0.00,0.00,9.21,2.63,0.66,4.61,1.97,0.00,1.97,13.16,1.32,12.50,7.89,3.29,2.63,0.66,1.97,1.32,0.66,0.00,0.00,1.32,0.00,0.66,0.00,0.66,0.00,25.00,8.55,6.58,0.66,3.29,2.63,0.66,0.00,0.00,2.63,0.00,0.00
FIRST CITIZEN.txt,1,60,83.85,95.20,65.14,1.03,5.45,18.33,80.00,46.67,21.67,13.33,3.33,0.00,1.67,5.00,3.33,8.33,5.00,15.00,0.00,0.00,5.00,0.00,10.00,0.00,0.00,3.33,0.00,0.00,3.33,0.00,3.33,0.00,3.33,0.00,20.00,1.67,0.00,3.33,10.00,3.33,0.00,1.67,0.00,0.00,0.00,1.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,3.33,1.67,11.67,0.00,0.00,5.00,6.67,0.00,23.33,10.00,13.33,0.00,0.00,1.67,0.00,1.67,0.00,3.33,0.00,0.00,0.00,0.00,0.00,0.00,38.33,6.67,15.00,0.00,1.67,3.33,8.33,0.00,0.00,3.33,0.00,0.00
PARIS.txt,1,551,35.79,83.65,20.95,5.97,10.60,13.07,83.30,51.91,21.23,14.70,6.53,0.18,5.81,2.18,0.00,6.53,2.54,11.43,8.35,2.90,5.81,1.27,14.70,4.72,1.81,1.09,0.00,1.45,8.71,3.45,5.26,0.36,1.09,2.72,13.79,1.63,0.00,2.36,1.81,7.26,0.91,1.09,1.27,1.81,1.09,2.18,2.00,0.54,0.91,0.18,3.27,1.27,0.36,0.00,0.54,6.53,2.36,0.18,2.72,0.54,0.91,1.45,10.34,2.54,9.98,2.00,3.45,4.72,0.18,0.00,0.36,0.18,1.81,2.54,1.09,0.00,0.91,0.18,0.00,0.00,25.77,7.26,11.98,0.00,0.91,0.91,1.27,0.00,0.00,3.27,0.00,0.18
FRIAR LAWRENCE.txt,1,2725,51.43,88.83,28.63,54.09,13.83,11.16,82.64,50.17,17.39,12.22,3.30,0.55,5.50,2.35,0.51,5.17,4.22,12.15,5.98,4.15,7.27,1.58,12.73,4.66,1.98,1.91,0.55,1.94,7.89,4.70,3.19,0.62,0.84,1.17,13.87,0.95,0.44,2.39,1.80,7.60,1.21,1.03,1.06,1.39,1.21,2.83,2.24,0.92,0.44,0.44,3.60,1.43,0.95,0.11,0.59,6.31,2.64,0.73,2.02,1.25,0.37,1.28,8.92,2.42,13.69,3.38,5.65,5.06,0.66,0.59,0.48,0.26,1.28,1.69,0.73,0.04,0.40,0.07,0.26,0.00,22.28,5.98,9.76,0.15,1.50,1.10,0.40,0.22,0.00,3.16,0.00,0.00
FIRST SERVANT.txt,1,81,91.55,77.05,15.12,99.00,10.12,7.41,81.48,56.79,14.81,11.11,3.70,0.00,3.70,3.70,0.00,3.70,11.11,17.28,3.70,0.00,8.64,2.47,16.05,2.47,1.23,2.47,0.00,1.23,6.17,6.17,0.00,0.00,0.00,0.00,13.58,0.00,0.00,0.00,4.94,6.17,2.47,0.00,0.00,0.00,0.00,3.70,3.70,3.70,0.00,0.00,3.70,0.00,1.23,0.00,1.23,8.64,3.70,0.00,1.23,3.70,0.00,4.94,11.11,0.00,8.64,1.23,6.17,0.00,0.00,1.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.93,4.94,9.88,0.00,2.47,1.23,3.70,2.47,0.00,1.23,0.00,0.00
THIRD WATCH.txt,1,26,15.66,93.79,1.00,1.00,13.00,11.54,88.46,61.54,26.92,11.54,0.00,3.85,0.00,7.69,0.00,15.38,3.85,11.54,7.69,3.85,11.54,0.00,23.08,3.85,3.85,0.00,0.00,0.00,11.54,0.00,11.54,3.85,0.00,7.69,11.54,0.00,0.00,0.00,7.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.54,7.69,0.00,0.00,3.85,0.00,7.69,7.69,3.85,11.54,7.69,3.85,0.00,0.00,0.00,0.00,0.00,3.85,0.00,3.85,0.00,0.00,0.00,3.85,0.00,15.38,7.69,7.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
