Filename,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
QUEEN.txt,1,1069,37.45,87.12,10.49,28.88,9.81,11.88,80.73,51.54,19.74,14.59,4.68,0.75,5.14,3.46,0.56,5.14,4.21,10.57,7.11,4.49,6.36,2.06,14.50,4.02,2.34,2.81,0.28,2.25,6.45,3.27,3.09,0.65,1.12,0.84,14.59,0.94,0.28,2.43,3.27,6.92,0.75,1.31,0.84,1.59,1.22,2.34,4.30,1.50,1.59,0.56,4.02,2.34,0.84,0.00,1.03,5.05,1.68,0.56,2.06,0.94,0.37,1.68,9.45,2.25,10.01,2.99,4.86,2.43,0.37,0.75,0.28,0.37,1.12,1.22,1.59,0.09,1.03,0.28,0.28,0.00,25.35,7.02,10.76,0.19,0.65,2.06,1.12,0.28,0.09,3.18,0.00,0.00
LORDS.txt,1,2,92.84,50.00,1.00,25.77,1.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00
KING.txt,1,4113,38.79,93.31,13.63,39.69,14.59,13.57,84.37,55.19,19.38,13.57,2.77,2.87,3.94,3.31,0.68,5.81,4.30,12.55,8.10,4.45,7.56,1.85,14.95,4.50,2.43,2.33,0.51,2.02,6.61,3.67,2.89,0.32,1.07,0.92,16.19,1.31,0.41,0.68,4.47,10.02,1.75,1.80,1.34,2.12,1.26,3.36,2.58,0.92,0.85,0.56,2.53,1.31,0.56,0.05,0.41,8.58,4.47,1.19,2.19,0.88,0.63,1.97,9.48,2.58,11.18,2.53,5.35,3.38,0.90,0.44,0.19,0.51,0.73,0.90,0.88,0.02,0.51,0.05,0.29,0.00,22.61,4.91,10.02,0.39,1.26,1.48,0.53,0.22,0.15,3.65,0.00,0.00
REYNALDO.txt,1,65,2.01,1.00,97.02,99.00,5.00,4.62,95.38,61.54,32.31,27.69,26.15,0.00,0.00,1.54,0.00,4.62,1.54,6.15,9.23,7.69,7.69,0.00,10.77,1.54,1.54,0.00,0.00,0.00,7.69,7.69,0.00,0.00,0.00,0.00,4.62,0.00,1.54,0.00,3.08,10.77,1.54,3.08,3.08,1.54,0.00,3.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.15,1.54,0.00,18.46,4.62,1.54,1.54,3.08,3.08,6.15,1.54,4.62,0.00,0.00,1.54,0.00,0.00,18.46,0.00,3.08,0.00,0.00,0.00,3.08,0.00,49.23,18.46,20.00,0.00,0.00,1.54,0.00,0.00,4.62,4.62,0.00,0.00
GUILDENSTERN.txt,1,340,31.23,71.19,41.47,97.67,9.19,12.65,89.41,57.94,22.94,19.12,8.82,5.29,2.94,2.06,0.00,3.82,4.71,11.76,9.12,3.53,4.71,3.53,15.00,3.24,0.59,1.47,0.00,2.94,5.88,5.59,0.29,0.29,0.00,0.00,14.71,0.59,0.29,1.18,2.35,10.00,1.47,0.88,1.76,2.35,0.59,5.00,1.47,0.29,0.88,0.29,1.76,0.88,0.29,0.00,0.29,17.06,6.18,1.76,8.53,1.47,0.29,1.18,11.18,2.06,8.24,1.76,5.29,1.76,2.35,0.59,0.00,0.59,6.47,0.00,0.88,0.00,0.59,0.29,0.00,0.00,22.65,8.53,9.41,0.00,1.18,1.18,1.18,0.29,0.00,0.88,0.00,0.00
PLAYER QUEEN.txt,1,239,20.97,50.00,73.05,65.41,17.07,10.46,89.54,51.05,14.64,11.30,7.95,0.84,2.51,0.00,0.00,3.35,4.18,7.53,8.37,7.53,10.04,2.93,12.97,4.18,1.67,2.51,2.93,2.09,13.81,7.95,5.86,2.93,2.09,0.42,11.72,2.51,0.00,0.84,1.26,10.46,0.42,1.26,2.51,2.09,2.51,4.18,0.42,0.42,0.00,0.00,5.86,1.67,0.42,0.42,0.42,12.55,7.11,0.42,2.09,1.26,1.67,1.26,10.88,0.84,14.64,2.09,5.44,7.11,0.00,0.84,0.42,0.42,0.84,1.26,1.67,0.00,0.84,0.00,0.84,0.00,20.50,5.02,11.72,0.42,0.42,0.00,0.84,0.00,0.00,2.09,0.00,0.00
FIRST SAILOR.txt,1,39,17.96,99.00,1.00,97.19,9.75,7.69,84.62,58.97,23.08,15.38,2.56,0.00,7.69,5.13,0.00,7.69,2.56,12.82,17.95,2.56,5.13,0.00,23.08,2.56,2.56,0.00,0.00,0.00,5.13,5.13,0.00,0.00,0.00,0.00,25.64,0.00,0.00,0.00,12.82,5.13,2.56,0.00,2.56,2.56,0.00,2.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.26,0.00,0.00,10.26,0.00,0.00,2.56,15.38,2.56,2.56,2.56,0.00,0.00,0.00,0.00,0.00,0.00,5.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.33,10.26,12.82,0.00,2.56,0.00,0.00,0.00,0.00,7.69,0.00,0.00
GENTLEMAN.txt,1,193,53.80,85.01,3.17,7.69,19.30,15.03,78.24,48.19,13.99,10.88,1.04,0.52,1.04,6.22,2.07,3.11,5.18,10.36,7.77,4.15,6.74,2.07,17.62,3.11,2.07,0.52,1.04,2.07,5.70,1.55,3.11,0.52,0.52,1.55,15.03,0.52,0.00,5.18,3.11,13.99,4.15,1.04,1.04,1.55,3.11,3.11,4.66,0.00,3.11,0.52,3.11,2.07,0.52,0.00,0.52,6.74,0.52,0.00,4.15,0.52,1.55,3.11,10.88,2.59,8.81,1.55,4.66,2.59,0.52,0.00,0.00,0.00,1.04,0.00,1.55,0.00,0.52,1.04,0.00,0.00,27.46,4.15,16.06,0.00,1.04,0.00,1.04,0.52,1.04,3.63,0.00,0.00
BARNARDO.txt,1,211,19.18,84.03,33.73,77.99,7.81,11.37,84.36,54.03,19.43,9.00,2.37,2.37,2.84,0.95,0.47,10.43,4.74,8.06,8.53,8.53,7.11,1.90,17.06,3.32,4.27,3.79,1.90,1.42,4.74,3.79,0.95,0.47,0.47,0.00,12.80,0.00,0.47,0.00,2.84,9.48,2.37,1.42,0.47,2.37,0.95,3.32,5.69,3.32,1.90,0.47,1.42,0.95,0.47,0.47,0.00,9.95,4.27,0.00,3.79,1.42,0.47,3.32,15.17,0.95,11.85,1.42,4.27,6.16,0.95,0.47,0.47,0.00,0.95,0.95,1.42,0.47,0.00,0.00,0.95,0.00,27.49,8.53,10.43,0.47,0.00,2.84,1.42,0.00,0.00,3.79,0.00,0.00
OSRIC.txt,1,359,63.70,82.82,4.14,87.71,12.38,17.83,80.78,53.20,17.83,14.48,5.01,0.00,4.46,4.46,0.56,3.34,6.13,13.93,6.41,4.46,5.29,1.67,12.81,5.01,2.23,1.39,1.95,1.11,5.29,4.46,0.84,0.00,0.28,0.00,15.04,0.00,0.28,0.28,7.52,8.91,1.67,0.56,1.67,1.67,1.39,3.34,2.51,0.84,0.56,0.84,0.56,0.28,0.00,0.00,0.28,10.31,0.56,0.56,7.52,1.95,0.00,1.39,8.91,0.84,6.69,1.39,4.46,1.11,1.11,0.00,0.00,0.28,4.18,0.00,0.56,0.00,0.00,0.56,0.00,0.00,25.63,6.69,14.21,0.00,1.39,1.11,0.28,0.28,0.00,1.67,0.00,0.00
ROSENCRANTZ.txt,1,697,53.23,88.86,33.03,58.34,12.23,11.33,88.24,57.25,20.23,14.63,4.16,1.72,4.45,2.30,2.01,5.60,7.32,12.91,6.46,4.16,6.31,2.44,13.49,3.73,2.15,2.58,1.15,2.44,5.60,3.59,1.87,0.43,0.29,0.86,15.78,0.00,0.29,0.72,2.87,8.75,2.44,1.15,0.57,2.01,1.00,3.01,1.72,0.29,1.29,0.14,1.15,0.57,0.29,0.00,0.14,10.90,2.44,0.57,6.46,1.15,0.72,2.15,10.47,1.43,11.62,2.73,6.17,2.73,0.43,0.43,0.43,0.29,4.02,0.43,0.72,0.14,0.14,0.14,0.29,0.00,20.95,6.74,9.04,0.14,1.15,1.15,0.29,0.29,0.00,2.15,0.00,0.00
BOTH.txt,1,6,99.00,4.80,23.51,25.77,6.00,0.00,100.00,50.00,16.67,16.67,16.67,0.00,0.00,0.00,0.00,0.00,0.00,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.33,33.33,0.00,0.00,0.00,16.67,0.00,0.00,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.33,16.67,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
LUCIANUS.txt,1,40,82.35,69.14,27.99,72.57,40.00,35.00,57.50,22.50,5.00,5.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,7.50,0.00,2.50,5.00,2.50,2.50,2.50,0.00,0.00,0.00,0.00,2.50,2.50,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,5.00,2.50,0.00,0.00,0.00,0.00,2.50,7.50,5.00,0.00,2.50,10.00,2.50,7.50,0.00,0.00,2.50,0.00,2.50,2.50,0.00,0.00,0.00,0.00,0.00,12.50,0.00,5.00,7.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,2.50,22.50,0.00,2.50,0.00,0.00,0.00,0.00,2.50,0.00,0.00
PROLOGUE.txt,1,16,37.39,99.00,1.00,1.00,16.00,31.25,81.25,62.50,31.25,31.25,0.00,18.75,12.50,0.00,0.00,0.00,0.00,18.75,0.00,6.25,6.25,0.00,6.25,0.00,0.00,0.00,0.00,0.00,6.25,0.00,6.25,0.00,0.00,6.25,37.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.25,0.00,6.25,0.00,0.00,0.00,0.00,0.00,0.00,25.00,18.75,0.00,6.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.50,6.25,18.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50
SERVANT.txt,1,9,17.96,99.00,1.00,25.77,4.50,22.22,77.78,55.56,33.33,33.33,0.00,0.00,11.11,0.00,22.22,0.00,0.00,11.11,11.11,0.00,0.00,0.00,22.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.56,0.00,0.00,0.00,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.11,0.00,11.11,0.00,0.00,0.00,0.00,0.00,0.00,11.11,0.00,0.00,11.11,0.00,0.00,0.00,22.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.33,22.22,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FIRST PLAYER.txt,1,368,89.43,71.59,10.85,17.83,24.53,15.49,72.83,47.01,11.68,8.42,1.63,0.82,0.82,4.62,0.54,3.26,7.61,16.03,3.26,2.99,7.88,0.82,8.97,4.35,2.99,2.17,0.00,1.63,4.35,1.90,2.45,1.09,1.09,0.54,8.97,0.54,0.00,2.17,3.53,7.61,1.09,0.82,1.09,1.36,1.90,2.45,4.89,1.90,1.90,0.82,2.72,2.17,0.27,0.54,0.27,7.88,1.09,1.36,4.89,1.09,0.82,4.35,4.08,1.09,14.13,2.45,8.15,3.26,0.27,0.27,0.00,0.54,1.63,0.54,0.54,0.00,0.54,0.00,0.00,0.00,26.36,4.08,13.59,0.00,0.82,0.27,0.27,0.27,0.00,5.43,0.00,1.63
VOLTEMAND.txt,1,159,81.06,95.50,9.72,93.95,39.75,19.50,82.39,51.57,16.35,10.06,0.00,1.89,2.52,5.66,0.00,6.29,2.52,20.75,3.77,3.77,6.92,0.63,10.06,6.92,5.03,1.26,1.89,1.89,5.66,5.03,0.63,0.00,0.00,0.63,15.72,1.26,0.00,0.00,6.92,8.81,0.63,1.89,0.63,1.26,1.89,2.52,1.89,0.63,0.63,0.63,1.89,1.26,0.63,0.00,0.00,11.32,2.52,2.52,5.03,1.89,1.26,2.52,6.29,1.89,16.35,3.14,8.18,6.29,1.26,0.00,0.00,0.63,0.00,0.63,0.00,0.00,0.00,0.00,0.00,0.00,22.01,2.52,12.58,0.63,2.52,0.00,0.00,0.00,0.00,3.77,0.00,0.00
MESSENGER.txt,1,36,23.63,95.20,11.80,25.77,7.20,16.67,86.11,63.89,41.67,33.33,11.11,0.00,2.78,5.56,13.89,8.33,2.78,13.89,2.78,0.00,0.00,2.78,13.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.56,0.00,0.00,2.78,5.56,2.78,0.00,0.00,0.00,0.00,0.00,2.78,5.56,2.78,2.78,0.00,0.00,0.00,0.00,0.00,0.00,8.33,0.00,2.78,8.33,0.00,0.00,11.11,2.78,0.00,5.56,5.56,0.00,2.78,0.00,0.00,0.00,0.00,5.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.33,13.89,11.11,0.00,5.56,0.00,0.00,0.00,0.00,2.78,0.00,0.00
LAERTES.txt,1,1478,36.94,60.16,37.44,51.06,11.64,11.37,84.03,54.74,19.08,13.73,6.63,0.20,3.38,3.11,0.41,5.35,5.21,11.10,7.58,4.80,7.51,2.50,13.33,3.38,1.96,1.76,0.54,1.89,7.44,4.40,3.04,0.54,1.22,0.81,12.04,1.01,0.20,1.35,3.45,9.34,1.83,1.01,1.29,2.17,1.01,3.65,2.84,0.54,1.01,0.88,3.38,1.49,1.01,0.07,0.41,5.35,1.35,1.01,2.37,0.61,0.54,1.29,9.47,2.57,11.37,2.57,5.28,3.92,0.54,0.20,0.27,0.41,1.96,1.01,1.56,0.27,0.81,0.07,0.41,0.00,24.09,7.10,9.34,0.14,1.49,1.15,0.54,0.14,0.07,3.59,0.00,0.54
