,0,1,2,3,4,5,6,7,8
verb,68.57,0.1,0.33,14.58,10.61,4.59,1.04,0.0,0.18
adj,85.45,3.27,0.42,0.1,0.01,1.72,7.96,0.26,0.8
compare,48.81,31.62,1.22,0.31,3.42,0.05,10.97,2.36,1.24
interrog,11.52,38.36,48.96,0.92,0.08,0.07,0.04,0.03,0.01
number,3.02,44.94,29.12,9.08,8.33,4.53,0.78,0.17,0.03
quant,26.22,14.21,16.44,10.85,8.4,6.41,17.09,0.36,0.0
affect,1.9,59.78,22.87,8.91,1.23,0.02,2.64,2.27,0.38
social,76.62,4.4,0.16,1.77,13.6,0.0,1.2,1.83,0.43
cogproc,14.42,0.44,11.76,56.43,0.06,9.14,6.62,0.91,0.21
percept,7.18,4.46,64.54,6.79,0.18,7.14,7.6,1.86,0.25
bio,76.67,0.57,5.09,10.17,4.07,2.6,0.21,0.42,0.19
drives,60.99,1.86,17.34,5.91,4.63,3.35,2.82,1.76,1.34
relativ,10.28,15.21,3.73,23.4,25.38,20.12,0.06,1.76,0.05
informal,7.21,78.04,1.67,7.7,1.46,0.73,2.38,0.8,0.01
AllPunc,52.58,30.12,0.01,0.01,6.42,10.68,0.19,0.0,0.0
