,0|36.76%,1|21.82%,2|14.91%,3|10.46%,4|5.86%,5|4.74%,6|4.11%,7|0.99%,8|0.34%
PRINCE,0.1510288093893954,3.1567592273484104,0.24672873839867504,-1.4199274531514856,-0.035774460208640474,0.057717265814932,-1.6596813242077644,0.12307183628722881,0.05564682473917596
PARIS,0.8749711681630888,-0.10412976318300197,-3.863565283460615,0.5817555893443441,0.04397085904806161,0.8169001349403883,0.1375572250173851,0.38326703348237434,0.015225359102106132
FRIAR LAWRENCE,1.0004818192589409,1.1020734477973817,-1.1907857207141734,-1.406403037190269,0.2591506793779966,-1.6162677266705516,1.0236507211512174,-0.40430615831032457,0.004103144987558134
MERCUTIO,4.113383155202481,-3.484028945759964,1.0507372910679234,-1.1913216015216312,-0.39141134087496326,-0.08067105149911426,-0.28301997732614925,0.2505846903251192,0.06734780424244655
JULIET,0.28719837212816496,0.8364336014364888,1.2020888893072197,2.3964193865521364,0.5506134892983117,-1.1184540962309397,0.10158148365446527,0.5237616537123737,0.15917648557956157
NURSE,-3.2052019033841037,-1.8709009746516538,0.11921396692596006,-0.28959823473766944,1.4096811329772387,-0.20049175622358398,-0.40797907357695173,0.05290198775596164,-0.4180193447823761
CAPULET,-2.3812636408286805,-0.8716774511251599,0.4977859662331771,-0.28283374144908285,0.9424594280650184,0.8642694638843478,0.24672166352710215,-0.3564885079154087,0.4840177100505389
ROMEO,2.7869588517957973,0.4094307610188696,0.3627591983228643,1.8517218533397466,-0.07837105792245236,0.5563643709275153,-0.3542390451183916,-0.768593913415928,-0.18419241214328855
LADY CAPULET,-3.5549395980353653,-0.9905104315310597,-0.1545306326273186,0.41787740138965923,-2.2813591692888653,-0.42035655688433704,-0.1708811820494318,-0.09945034508072596,0.010283583668223902
BENVOLIO,-0.07261703368971309,1.8165505286496886,1.7295675865462812,-0.6576901625757455,-0.4189595604717119,1.1409899519413402,1.3662895089285227,0.29525172315933174,-0.19358915544394023
