,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
verb,0.13,45.22,23.32,20.06,0.36,0.0,0.06,3.72,0.6,1.09,0.04,0.38,0.46,0.19,1.47,2.02,0.02,0.23,0.3,0.01,0.01,0.01,0.11,0.0,0.02,0.01,0.0,0.01,0.02,0.0,0.02,0.01,0.04,0.05,0.0
adj,53.88,0.49,2.21,7.43,0.32,6.05,0.69,1.86,0.2,4.96,3.82,4.78,0.1,0.74,0.95,1.96,2.06,0.01,0.47,0.94,0.3,0.34,0.28,1.48,1.23,0.66,0.33,0.43,0.0,0.07,0.51,0.16,0.02,0.26,0.0
compare,41.82,1.13,1.53,1.21,0.88,1.02,0.47,1.48,0.06,7.44,1.05,10.12,7.05,0.69,0.41,1.23,0.13,2.89,13.13,0.16,1.55,0.84,0.5,0.17,1.92,0.03,0.01,0.34,0.32,0.02,0.0,0.0,0.13,0.21,0.04
interrog,47.16,0.96,2.53,2.43,4.68,0.4,0.13,2.12,1.38,4.59,1.33,17.69,0.95,0.42,1.92,0.36,0.14,0.01,1.26,1.42,3.57,0.14,0.14,1.64,1.19,0.18,0.03,0.45,0.15,0.0,0.49,0.02,0.06,0.0,0.08
number,30.67,0.03,0.07,3.68,0.01,1.22,2.84,2.17,3.78,12.98,0.29,9.04,0.47,5.71,0.56,0.54,1.04,1.94,1.4,6.93,0.25,0.17,1.26,0.42,0.0,5.67,4.39,1.69,0.09,0.34,0.02,0.03,0.28,0.0,0.0
quant,46.1,0.5,0.22,5.77,0.03,4.19,0.01,0.13,0.1,3.88,18.55,1.52,2.98,3.5,2.85,1.87,0.27,0.01,1.02,0.0,0.04,0.03,1.11,0.0,0.87,0.42,2.34,0.13,0.13,0.12,0.7,0.41,0.07,0.08,0.05
affect,4.68,9.82,8.5,63.55,0.59,0.73,5.7,0.05,0.84,0.0,0.14,0.35,0.02,0.12,0.64,0.59,0.19,1.85,0.01,0.06,0.01,0.77,0.02,0.04,0.14,0.0,0.16,0.0,0.1,0.09,0.16,0.0,0.08,0.02,0.0
posemo,0.17,12.89,16.07,46.94,0.62,4.94,13.62,0.31,0.09,0.09,2.03,0.03,0.05,0.11,0.05,0.54,0.42,0.45,0.03,0.09,0.0,0.12,0.01,0.01,0.05,0.01,0.07,0.02,0.03,0.0,0.02,0.01,0.07,0.04,0.01
negemo,15.63,0.03,2.31,16.89,0.02,41.22,3.98,2.95,2.01,0.07,3.78,0.65,0.83,0.08,1.43,0.0,0.44,3.12,0.48,1.58,0.0,1.12,0.01,0.09,0.06,0.08,0.12,0.0,0.24,0.34,0.36,0.02,0.0,0.04,0.03
anx,19.4,0.02,0.0,2.67,3.65,8.27,1.17,0.11,0.05,0.57,0.08,0.11,4.89,21.57,2.5,1.86,17.35,8.35,0.03,3.16,0.11,0.08,0.41,1.5,0.72,0.44,0.1,0.0,0.16,0.38,0.1,0.02,0.01,0.17,0.01
anger,25.96,0.0,0.98,8.97,1.42,9.57,0.03,3.37,23.28,0.06,2.21,0.63,3.95,4.2,0.25,0.15,0.05,3.6,0.48,5.81,0.56,0.82,0.35,0.55,0.31,0.49,0.88,0.16,0.07,0.07,0.04,0.01,0.56,0.13,0.01
sad,0.6,0.21,1.79,7.89,3.05,38.45,11.86,0.63,11.39,0.16,2.0,5.5,0.05,9.63,0.58,0.09,4.07,0.26,0.03,0.03,0.18,0.09,0.0,0.17,0.02,0.45,0.0,0.29,0.18,0.03,0.08,0.08,0.02,0.13,0.01
social,31.87,29.16,13.36,3.38,12.32,0.98,0.62,0.18,0.28,1.23,0.42,1.34,0.03,1.9,0.16,0.27,0.3,0.15,0.24,0.92,0.39,0.09,0.0,0.0,0.18,0.0,0.06,0.05,0.01,0.03,0.01,0.05,0.01,0.02,0.0
family,22.9,0.0,0.22,5.0,7.18,8.02,0.49,5.03,11.09,7.78,0.6,0.85,2.89,7.07,2.12,0.01,0.48,8.34,0.0,0.76,0.7,5.07,0.77,0.24,0.26,0.71,0.18,0.23,0.0,0.57,0.15,0.14,0.0,0.0,0.12
friend,9.67,4.39,38.38,2.19,1.4,3.02,0.55,7.28,3.89,0.11,1.13,0.03,6.56,0.02,0.04,3.6,1.29,6.28,3.09,2.78,0.04,0.13,0.01,0.0,2.73,0.14,0.04,0.02,0.0,0.31,0.19,0.15,0.3,0.01,0.2
female,0.06,14.97,17.12,6.47,34.78,1.07,0.03,0.88,6.35,0.74,1.34,8.15,0.0,0.02,1.88,0.0,0.03,1.05,0.05,0.2,0.0,0.19,1.43,1.69,0.14,0.05,0.32,0.05,0.16,0.21,0.02,0.0,0.01,0.36,0.18
male,0.33,2.97,1.13,5.17,30.48,12.92,0.55,9.08,4.15,1.18,6.61,2.5,5.3,2.32,0.6,5.15,0.48,1.03,0.02,0.35,0.88,0.11,3.6,0.91,0.9,0.41,0.05,0.29,0.01,0.18,0.18,0.0,0.01,0.01,0.15
cogproc,79.48,1.5,1.11,0.03,0.0,0.0,0.28,1.46,0.97,2.63,0.1,2.19,0.5,1.29,0.71,0.31,1.69,0.24,0.56,0.49,0.53,0.13,2.79,0.4,0.0,0.02,0.0,0.08,0.42,0.01,0.05,0.01,0.01,0.0,0.03
