,0|18.33%,1|10.61%,2|8.94%,3|7.0%,4|5.62%,5|5.13%,6|4.89%,7|4.83%,8|4.07%,9|3.57%,10|3.24%,11|2.98%,12|2.68%,13|2.55%,14|2.23%,15|1.78%,16|1.53%,17|1.43%,18|1.31%,19|1.23%,20|1.14%,21|1.05%,22|0.69%,23|0.68%,24|0.57%,25|0.47%,26|0.34%,27|0.29%,28|0.2%,29|0.17%,30|0.13%,31|0.1%,32|0.09%,33|0.07%,34|0.04%
PRIEST,-2.0862915259587878,0.8005531106050059,2.160684313651664,1.3138731897049625,3.4773692509727017,0.48051222461539134,-1.149914842381494,-2.642262143247626,1.4059558248087403,-4.41057050422632,0.6455766504450401,2.629132456728704,-4.086586777182545,-1.9429506164685213,1.7162116030954009,0.3144949612167166,0.18022652607576853,1.6045179685547017,0.41355043689019755,-1.6071410528711836,1.3184548222220438,0.49284989912326493,-0.49794285272521677,0.47765848951295026,0.4982297108315582,-0.2633335735149972,0.16288426022231386,0.4351628333179907,0.4206591001132514,-0.07188925939539283,-0.08366690088705508,0.23092940680622973,0.013483799580163013,0.05965660848577362,-0.03829942774692881
LORD,-0.9762651764505154,2.765347039815674,0.3307478298735858,-2.2245877828475047,1.588248585144751,-5.819643753226435,-1.5858460084935126,-0.4856799183980834,2.1354402792772436,-0.5459938399617646,-4.175945102802163,2.626719371436986,2.222389270722663,-0.05658446950007973,-0.4227674601079084,2.5526709009774358,-0.2132938817818233,-0.012924175295621114,-1.558277216507929,0.8701167004048008,1.2721157372768632,-0.4505504433785747,-0.29164639412019827,0.6693367794058492,-0.6731877049454179,0.42081616629807683,-0.6886264712996288,-0.15462048299729766,-0.16768195276185735,0.23871508239452802,-0.06257697892998981,-0.09563944054844838,0.015750574193586168,0.09450423325718771,-0.01977758379911939
ALL,10.244863630720138,4.058288301236083,-3.481138243335314,-9.498119915845598,0.7223497160829683,-0.907463248973746,-3.1157511387392076,-2.6782882092608293,-0.20155852405958985,-0.5417887332424479,2.841473714837545,-1.4677893120098764,-0.46702865468342303,0.7988403859880744,0.6479384282095996,-0.6205183361773835,1.3165532233855493,0.544982022311224,-0.24333332379749165,-0.060963434625338354,-0.7581592961674194,-0.1006826677841807,-0.17831963107066814,-0.3249344510176949,-0.41969220993827416,0.11500725272882129,-0.08277771591020107,0.0682958123843442,0.05316109969068275,-0.033562410214080636,0.019302109332662548,0.07325211632807656,0.03689071651627249,-0.004509909902893748,0.009503542638217491
DANES,7.299166369394054,9.074817724002733,5.523943251914737,4.23990742312808,6.5663996300692675,-0.2515280810052926,2.0636153054293946,3.9914436731525713,0.36951137935603795,1.653491621708106,1.0016423200172868,-1.5903763907118846,0.4000474992284387,0.48322426248926986,0.44213768646820195,-0.6250310253284416,0.47718710289654886,0.3459522985436671,0.026180160545750043,0.5599456762214463,0.3348942580619278,0.21363058390789164,0.23938756338091566,-0.17425684419139587,0.010663165403336354,-0.12680971373028652,-0.15245419815364403,-0.07936834957587659,-0.06610918920916863,0.03129037002062112,0.020676061045949823,-0.005719278785480858,0.023378318276724375,-0.022041002142405265,0.009758307137853897
FIRST AMBASSADOR,2.272632716418498,1.8747333503060748,2.7509991116130235,1.816323232850853,-2.3681904487138064,-0.4695365128964717,-1.561083998791682,0.8970458362109863,2.207140580111251,-1.915398761673906,0.8992254764668334,-1.0060238893195186,-2.4179936643562603,-1.3468141219250398,-4.746840289188526,0.28910607316397385,-0.23937269235073227,-1.7312507570850106,-0.939502068953098,-1.5011530703889104,-2.0456181027742124,0.00042687968966264526,-0.14778552271378714,1.0945105895426128,-0.343192340307277,0.3553921963746914,0.07967406727640602,-0.03791162984381423,-0.46381110591013147,0.0685330470258685,-0.09502017345366384,-0.1574703551803844,0.13888470807800107,-0.040721421093415165,0.06334076392439902
SECOND CLOWN,-4.090469069945891,1.2572580268772746,1.491736289658379,2.727143918902714,0.3499227018088752,2.116756810800133,-2.3089396599068084,-3.2584025458957036,-1.316535968412562,-2.2054572173729143,1.7897545853409524,0.43741345124844744,-1.264347719435198,3.0024159192407254,-0.506380436151954,-0.2470930946258277,-2.6224537882724457,-0.06777037730848388,-1.0093180451478305,3.174925756416672,-0.559153957512558,0.09420763373638565,-0.1919218187725272,-1.175372014572124,-0.8119480240635593,0.08722809121466409,-0.40815920321669635,-0.05457020011649977,-0.08265595801829621,0.24153561772750534,-0.03957470967410832,0.08703954400914621,-0.11902547167966294,-0.04238492081673884,0.015084789149053689
FIRST CLOWN,-3.778218175351742,0.42410220474475563,0.5495598135110522,0.5898156562165114,-0.8552073405597845,2.0233787209174414,-0.021968513088984228,-1.2124847516960413,0.39824553478413927,-1.2385145126257773,0.16188515318110305,-1.657356875465287,1.3474101283979303,0.14555238068552873,1.0155338540920467,-1.0183800403822296,0.10871361861303969,0.7883891458411812,-0.3414210200681047,-1.1558441944261393,1.018564167069822,-1.2981232491947632,1.5370946340665763,1.0183956561023975,-2.2531939176330376,-1.0956900163515564,0.23908876927874811,-0.43493553776651317,0.08041234522144813,0.08498566253098042,0.5900749393874403,-0.39839109524766786,0.265945282027115,-0.07351838261104282,0.006009672075825677
GHOST,-0.24960055034429712,0.010392434750590377,1.8388382381515553,-1.2861384801579239,3.540081535416969,2.243900656225661,-1.3717468306113416,-1.5979441389428943,-6.529702775173575,0.17671216590771938,0.7759537436935612,3.166025441652472,3.6112355024900125,-0.92534965853989,-2.1953057724120093,0.491484870594455,-0.9264878463991946,0.12984711190389853,1.377363122836193,-1.1877557339076412,-0.6010525518543488,-0.4788418622018569,-0.08214165971753852,0.5654385622446111,0.4899006381359172,-0.14287094215591908,0.024335941747018645,0.06386843762502944,-0.2706839535810894,-0.14827664655138234,-0.021570343292875275,-0.17588878225937157,-0.021376589308131643,-0.08109542812088452,0.019852067091814828
CAPTAIN,-1.7616551497116468,-1.1802233997458975,-1.7314079240542681,1.1438278659809007,0.9427460916213253,-0.7468001931960441,0.9313321934723686,-4.204930114168085,0.0039032527294582623,6.677975396811925,0.7664411050220035,-1.1905294922035237,-2.9224374642594455,0.33744196302515006,-1.7262151571678521,1.9735068267992362,-0.46147285940215527,1.2944576790527167,0.891526186482774,-1.0075079517689483,1.0494252978659775,0.581058129753347,0.6929295869263188,-0.30404275200093883,-0.4410051542039738,0.6252973013046689,-0.4926720616899877,0.03862507569263934,-0.048962008185064534,0.024895576930552065,-0.04779478303229257,-0.10983584583570394,0.0969432836881168,-0.041524274932848076,-0.013013787809077587
FRANCISCO,-1.5216841357708764,0.3375547592909544,-0.25521524782187777,-2.0954068273494357,-1.096128753469593,-1.7587250082854449,-2.8786114223468617,5.914181940132544,-4.512920451746622,-0.06205308184166059,-3.1183174885303493,-0.6021156963056005,-3.7638994181403054,1.2539578049672853,2.0833371526315445,0.02069481750932962,-1.4707854349070784,-0.5844451466570648,1.2974516775288452,-0.9381221196872701,-0.38233638104389667,0.20536842419916693,0.5163341786326485,-0.07528350139786283,-0.344686607948777,0.02325050668507475,-0.4303884140515698,0.04988359844901104,-0.12077432178797559,0.07082593487625186,0.10504669078806353,-0.0841560485070459,-0.08965066651356905,-0.04939712072569559,-0.008751429722085624
