,0|14.35%,1|12.58%,2|10.75%,3|8.49%,4|6.87%,5|6.3%,6|5.51%,7|4.88%,8|3.86%,9|3.48%,10|2.83%,11|2.57%,12|2.5%,13|2.35%,14|2.04%,15|1.55%,16|1.47%,17|1.32%,18|1.15%,19|1.07%,20|0.91%,21|0.68%,22|0.63%,23|0.47%,24|0.39%,25|0.35%,26|0.28%,27|0.15%,28|0.11%,29|0.08%,30|0.06%
PRINCE,0.2835925980848171,-2.9492472957451965,-1.303620459203394,0.8657615467235378,-1.3766083150890382,0.12776881458796396,2.019859905313178,-1.3894411542872036,2.1886003788501394,-0.8394617192359533,1.8665016783443817,-0.646189113293607,0.46065554997484276,1.6842308232719656,-1.689856224102572,-0.2348164623470121,0.9876359256607661,0.6023261272484381,-0.39454990427795766,-0.9357270665082379,0.25279330766469044,1.2058169907315153,1.2625391004284192,-1.9291863672154579,-1.0866116083561441,-0.644305869925198,0.20112839733695675,0.3588071384618708,0.09632868652835007,0.17259595457748597,-0.00305971671369098
THIRD MUSICIAN,12.998711312697235,8.647286363786494,8.51073347048589,2.5866786617469932,-1.006122112311102,-1.3311939886690287,1.4534332255054248,1.312308296664118,1.1034387739384728,-0.7121525428971481,-0.06448005587263299,0.793459354070125,0.8856101194696758,0.7389016834338858,0.15277465851759697,-0.07303557322107648,-0.12143305150124267,0.15850619770759936,-0.2252366304464515,-0.30857211680268615,-0.14306126112365472,-0.15650089475046527,0.015463766880851127,0.01043661524078523,-0.06366568086004054,0.1565120918100311,0.23384000965673132,0.00483332133561424,0.038021125109653525,0.02326206919963709,0.024838899982516892
PETER,1.286100906647755,0.7096122160603542,0.6858239000775487,-2.909572459266347,-2.7390039866544966,-2.4544052872042594,-4.457244475582891,-1.9821509823710164,-1.1468191046722929,0.7772185638883125,0.563967455337448,0.45546107278132836,-1.6993897062594072,-1.0809962044456047,-1.7053868042953961,0.9609677063350057,1.5642489821207246,0.21799055753579463,-3.3001655018725162,0.10987191425156305,1.3139801769241015,-0.32917210287815657,0.8698112092877166,0.546932748165328,0.3736298069849882,-0.2819641206427932,-0.24338608477309237,-0.0244900185938191,0.12515671021355423,-0.10655546803505331,0.022236157333148147
TYBALT,0.21485235262923094,-0.3892063568347894,-1.1712199757065125,-0.2693723489056475,0.0055839935604682315,-1.7167764244598334,1.7727026050379362,-0.5914774557401627,-0.08668460937269767,-1.869958774649936,0.46485744603467904,-1.2239593865739296,-1.0407034424531976,3.779088388092921,-1.3625154446600665,0.39860405096031337,2.7171925239751094,1.3536508675428889,1.125772988025091,1.0233885646972236,0.632562162919025,0.5716037608144267,-1.6999135236588132,0.9267892923879392,0.0497135897313554,0.4021782231141877,-0.5876309275308345,-0.02669220469419474,0.014504187143128885,-0.12539936347176678,0.0261269585907756
GREGORY,-0.13316836359016906,-0.7813355725660242,-1.1849790122111419,-2.0299546489091087,0.9651650853841118,0.43579823376868426,-0.6920364568445354,1.6923807798538641,-0.04920380966251014,0.5010819449572341,-2.56448240436164,0.24332070578493453,0.2731856450041922,1.1121239315295737,-1.23007208743358,-1.297216734190131,0.5391043019053735,0.07583070637844161,-1.9167911317511883,1.1238714893454609,-3.5833861021799827,-0.38955914707938205,0.03261346384163969,-0.40067721806540124,-0.4970169567983909,0.7331987297296054,-0.24741694734494485,0.029296611711498104,-0.09773003115657725,-0.10290368512036041,0.07531624348937553
FIRST CITIZEN,-2.7432715153159384,1.820305302374854,-5.292670595545025,-0.07925634598740124,-6.074044005517036,0.14419636725788929,2.254844163630642,5.785731569609212,1.522680403005153,-2.5011501478874627,1.6249277040991388,2.9741609795750508,0.7627052345816395,-1.0068049188411095,-1.6507173577990495,0.76448356638066,-0.07765664801260487,-1.2230653155538391,0.2305276626121489,0.008679372491020257,0.08236719271904934,-0.7389521022345505,-0.0986760465075841,0.16234018918570434,0.23477602170251213,0.11608975196669938,-0.09301328175893071,-0.125081112888568,0.01793229918493083,0.0720273605959414,-0.05332290728425623
PARIS,-0.031677730878263775,-1.5856691354122499,0.4781658218026263,0.2505710112244887,0.4082446053481363,-1.4636493287089871,-0.04429788700220457,-0.20172406613590513,0.6838083407229693,-1.1165020252384654,1.4144047618684108,-0.3301854617450436,0.09280095884708621,-0.455091197238012,0.8552848219986859,0.754732491520522,-0.022829295735307155,-0.10003660024655692,0.8779980336635252,-0.0966270423553201,-1.1589051353527295,2.1286725792623553,2.0095628899168205,0.39057233710862277,1.4387666495207612,0.752046327970113,-0.18342860328150487,-0.3509160536260457,-0.32163745281036804,-0.29128661306538817,0.054358159769325
FRIAR LAWRENCE,-0.005270617409250541,-2.533434354974672,0.2838611927368656,-0.19790574743559672,-0.08605491697820825,-0.09461663090025807,0.8077023844342998,-0.5438504704380137,-0.715410202645606,-0.006034171343204987,1.0062703614233857,-0.2510562355714483,1.1074759569080728,-0.8342231467350566,0.6218014534120204,-0.7402689032248967,-0.09102041470818538,0.7239021903996283,0.23970290686978715,-0.6899078321033105,-0.8319564113352663,-0.2648668622117487,-0.36243950755094456,-0.06634432500992143,0.6634096080411623,-0.14554557330817572,0.013904316375831486,-0.036161288804225124,1.5523959929549778,-0.32512802476854313,-0.0478637697154745
FIRST SERVANT,0.986470878514677,0.8937823297510941,-0.9256822978338499,0.9473250766795137,-2.205480458944188,1.0330031697825732,2.911720292083001,-0.5721087813121551,-2.4237600130745824,6.629563397225849,-2.098702095626457,2.262879906298033,0.6954096648833179,-0.8203705811559234,-1.03055962753912,1.0930431655796595,0.21820829879586254,1.0178649515169833,1.4207611112654255,0.7628472935631245,0.07312850748816668,0.6945345324632343,0.3631743476967025,0.0028084913060517024,-0.1346174797299224,-0.433962192921974,-0.5754384263683329,-0.039883295667036855,-0.016709700810047037,-0.002699855327142196,-0.07783085108274566
THIRD WATCH,-0.023315182065251495,-0.14418314465912138,-5.077189187486521,6.110773138014907,7.0371130919900455,-7.01561626293129,-0.7470226608678286,-0.26385968353975736,1.1069112360862385,0.8992594749570042,-0.33573617900775576,1.9855379873539798,1.4547212278042083,0.5402463453852372,-0.8213611678761814,-1.143278884530079,-0.41057722181612966,-0.9492068832239562,-0.3127795298867671,0.18065678245885897,0.6868831804797444,-0.33086453452752085,0.043496575003758024,0.061065101786695976,0.2808202340566389,-0.23033750712894244,0.007856339828750942,-0.01757115678431104,-0.0041632443906087285,0.04312190097289708,-0.03540970664470714
BALTHASAR,0.762492621763271,-1.1421679722234332,0.1633708742623461,0.7822446895758542,2.4697467125023462,-1.1134805443456548,-1.0084282140670138,0.8193807126910714,2.0420649454092654,-1.0203494159690931,0.3373008536862058,-0.5354376396240453,-1.1448597230100295,-3.0310578502774734,1.583469424473111,2.801714862241169,0.3007550120188311,1.1850590292750964,0.6187575185305135,3.0416455751371645,0.21342100873301773,-0.523154815926962,0.05563943797765305,-0.8239831315248434,-0.7332356170432227,0.3828436202229517,0.19838913112304132,-0.007163384010765556,0.17566660237392848,0.050412690379060675,0.0538730990464769
SAMPSON,1.0840325203506502,-1.1862566068736695,0.3216652486178562,-3.0614054053395146,2.561540275032054,0.8213057219895582,0.0017329892606241823,2.152710825501624,-3.6851588425081654,-3.6255035662796398,-3.9741762798246723,0.8952539534313341,-0.9492137664672368,1.8763066184897916,1.3060611308366776,0.5704406964289624,0.5253584579230469,-0.6523665993677965,0.9047764064591616,-0.1390752700170361,0.5871242080327768,-0.6051855428768345,1.294744018992957,-0.4061533493645147,0.23387045799198883,-1.0096855248100063,-0.22058723906808247,-0.11862502960052927,0.11144689247459914,0.10975621175866351,-0.03190273883962415
