,0,1,2,3,4,5
Analytic,84.98,0.86,9.37,0.98,1.2,2.42
Clout,19.89,65.61,0.68,11.18,0.93,1.7
Authentic,45.84,36.2,11.61,5.13,0.0,1.04
Tone,43.05,6.65,41.96,2.35,5.25,0.73
WPS,51.59,37.07,0.36,9.76,0.88,0.18
Sixltr,55.17,2.43,34.54,0.0,6.79,1.08
Dic,61.29,14.65,11.82,7.6,1.22,3.41
