,0|45.57%,1|27.96%,2|13.05%,3|9.45%,4|3.13%,5|0.85%
INTJ,-2.556864010301857,0.3210323702595475,0.6959813867976475,0.40078820434554574,-0.40790306255639275,0.18317613092676824
ENTJ,-3.1746605440087223,-2.641829918312847,1.0094366304118951,-0.848554310890041,-0.33834557584168024,-0.029668682290171167
ESTJ,0.8905490644827935,-1.6546825758668302,-0.7503808260158594,1.7241160661931059,0.5000577444778797,0.4566709502886345
ISTJ,-0.5185778396988854,0.8063406415724133,0.24657058181215052,0.1624501588617801,0.437100827055566,-0.4533918242724885
ESFJ,2.3339418425954075,-0.40049331820186534,0.23799543922528343,0.5803397324954951,-0.45405969710230304,-0.2824160694740562
ISFJ,1.6740485228408593,1.1909457763920388,0.0559885766009177,-1.1898237677285548,-0.19342799484873507,0.2112017567810544
INFJ,0.6525838433795079,1.0845576579876441,0.8711075983569155,0.541144093276006,-0.015779413535520797,-0.23321020422982944
ENFJ,2.5207893506695456,-1.8645551592730696,1.6059798901616156,-0.3671257689117149,0.03336180177494943,0.15305780213124245
ENFP,2.2591302217866573,-0.7565267743526078,0.42227365947814993,-0.7874323329001093,0.10645447684624998,0.0018471225296622317
INFP,1.1135771601839795,2.4255097428963235,0.5030814131255033,0.5175896690601942,0.20098973876437906,0.07439158413285091
ISFP,0.7519718560060399,1.3172035453574333,-1.505590411269872,-0.32922185073803095,-0.9157103629230587,0.040924073226583986
ESFP,-0.34004631398194063,-1.1741688641160775,-2.0074170456244946,-0.5320552146904637,-0.37746740939287643,-0.05665920116361388
ISTP,-1.61039695137951,1.1343098879047193,-0.1962111298340946,-1.3533698520723922,0.9619077812856034,0.009468105926685748
ESTP,0.07183602207187377,-0.9466041701064974,-1.4670998361672356,-0.04519358350781894,0.7320503494500936,-0.07285562594163889
ENTP,-1.6130418731263048,-0.4548060795111306,-0.09245205444805028,1.1039164432001198,-0.11227520974600565,-0.3783486565977843
INTP,-2.4548403515193926,1.613767237370835,0.37073612738955686,0.4224323140069467,-0.15695399370812582,0.37581273802610454
