,0,1,2,3,4,5,6,7
pronoun,23.83,5.59,26.43,17.27,0.55,11.9,3.79,10.65
article,17.23,37.04,12.4,15.23,2.83,0.44,0.78,14.05
prep,31.57,1.11,29.49,13.15,0.34,11.75,12.14,0.44
auxverb,78.49,18.32,2.15,0.44,0.03,0.32,0.25,0.0
adverb,83.63,0.05,4.1,2.77,0.7,0.01,6.24,2.5
conj,1.31,65.19,0.5,4.57,26.25,2.09,0.06,0.03
negate,35.14,18.64,0.11,4.43,0.54,33.17,0.18,7.79
verb,0.0,70.35,18.39,1.54,9.51,0.0,0.02,0.19
adj,2.04,58.09,0.06,3.54,22.03,0.1,1.09,13.05
compare,1.99,57.8,0.99,0.39,34.91,1.33,0.16,2.43
interrog,23.42,1.85,16.13,11.91,43.85,2.36,0.08,0.4
number,34.61,37.73,6.17,4.22,5.02,3.2,3.3,5.76
quant,56.17,14.57,3.86,0.11,2.79,17.94,2.45,2.12
posemo,8.73,8.51,17.61,0.4,31.39,27.79,0.85,4.72
negemo,29.47,1.27,5.67,56.75,0.09,0.26,1.12,5.39
anx,56.69,12.22,0.05,18.45,3.48,4.65,1.74,2.72
anger,37.27,3.75,5.76,49.72,0.14,2.69,0.12,0.55
sad,0.76,5.69,18.26,10.95,2.2,28.24,2.94,30.97
family,2.13,58.11,3.45,29.37,3.36,1.45,1.45,0.69
friend,32.07,12.96,1.61,1.34,34.6,4.21,7.59,5.62
female,2.65,0.47,6.71,48.28,2.74,17.15,21.99,0.0
male,52.94,0.94,35.33,1.32,0.07,0.82,6.35,2.22
insight,23.42,1.8,1.53,58.65,12.69,1.24,0.21,0.48
cause,47.34,17.14,0.46,0.27,22.06,0.01,4.08,8.63
discrep,29.03,14.81,2.53,4.2,11.29,8.04,17.31,12.79
tentat,1.89,10.9,44.34,13.87,1.1,20.99,6.92,0.0
certain,13.72,25.79,50.98,3.66,1.4,3.53,0.28,0.64
differ,79.2,2.1,12.22,0.59,0.21,0.63,0.78,4.26
see,36.61,13.77,20.23,7.27,1.25,20.38,0.0,0.48
hear,36.89,3.6,7.39,0.37,5.23,30.22,15.55,0.74
feel,20.11,13.03,0.23,24.84,41.34,0.17,0.27,0.0
body,1.32,1.2,27.54,56.41,0.0,8.88,3.1,1.56
health,1.92,1.16,24.03,66.97,4.78,0.18,0.88,0.07
sexual,84.59,2.18,1.54,1.16,0.46,10.06,0.0,0.02
ingest,13.88,4.34,23.75,46.13,8.15,0.06,0.05,3.63
affiliation,5.39,14.64,17.21,1.05,8.63,2.42,45.77,4.9
achieve,0.01,51.82,32.26,0.76,9.89,0.13,4.36,0.77
power,18.74,14.35,7.78,53.45,0.0,4.78,0.04,0.86
reward,0.06,0.31,53.31,24.13,12.79,8.31,0.3,0.78
risk,0.95,0.58,87.99,7.84,0.79,1.74,0.09,0.02
focuspast,1.8,2.23,22.35,34.96,2.24,26.3,0.78,9.35
focuspresent,0.8,2.56,12.39,6.69,5.43,52.8,14.94,4.39
focusfuture,12.73,38.81,0.38,21.31,20.94,1.53,4.15,0.15
motion,64.47,0.11,7.66,9.73,0.26,9.97,3.47,4.34
space,44.86,4.14,48.2,0.42,0.14,0.97,0.83,0.44
time,83.9,0.07,0.01,1.35,9.56,0.88,0.32,3.91
work,1.8,59.95,23.54,7.92,0.08,6.07,0.06,0.57
leisure,6.02,25.11,5.36,0.1,37.63,2.21,20.72,2.85
home,4.72,5.82,64.2,5.4,3.39,12.87,3.59,0.0
money,9.16,76.28,3.98,1.56,1.26,0.19,7.17,0.4
relig,11.15,18.69,22.23,40.18,4.61,3.06,0.08,0.01
death,50.13,12.43,3.09,24.82,1.26,0.19,2.03,6.04
swear,24.88,33.52,0.0,0.48,5.1,35.56,0.25,0.21
netspeak,0.15,0.13,53.6,40.13,5.3,0.58,0.1,0.0
assent,53.4,0.82,9.66,9.58,9.01,2.17,8.76,6.59
nonflu,61.81,0.54,15.95,9.36,2.8,2.48,6.73,0.32
Period,4.08,50.24,9.15,0.73,3.42,0.52,26.28,5.59
Comma,0.17,36.45,50.79,0.14,2.36,1.26,7.08,1.76
Colon,51.31,33.89,0.4,2.65,10.28,0.01,1.1,0.35
SemiC,59.52,6.94,4.07,14.59,10.86,2.42,1.6,0.0
QMark,0.79,3.56,0.53,49.82,18.93,2.67,0.1,23.6
Exclam,39.8,0.44,16.34,32.37,0.24,9.76,0.03,1.01
Dash,31.96,1.98,43.16,8.61,7.26,3.52,0.08,3.42
Quote,4.1,64.52,0.01,4.97,0.22,1.04,20.98,4.15
Apostro,18.27,16.05,53.26,0.27,8.8,0.05,3.15,0.14
OtherP,20.81,7.87,4.72,0.24,37.55,3.07,25.63,0.11
