,0|25.6%,1|17.98%,2|16.75%,3|15.09%,4|8.76%,5|7.21%,6|5.07%,7|3.52%
FIRST CLOWN,10.598047924373708,2.6620041236254557,1.2168464332316191,0.05251056215551741,-1.408276929536095,-0.07014548138890538,-0.14590132825265928,-0.7948980357119586
QUEEN,-3.7969442676118117,0.921040980738075,1.7260631009457994,-6.575428555876027,-2.888704380523713,-0.2940312465660009,-1.6270199717868223,-0.7051706870701195
KING,-0.38789009550693887,-4.2939272306141865,-2.7891548225806213,-0.9702169916234389,-1.0084167642095216,-0.9817725313781175,3.916652245224164,-1.2558866503501123
ROSENCRANTZ,-3.4737048552864564,5.2710082306013915,-2.95312931340383,4.055798187861691,-1.594735716482626,-3.0709780005065435,-0.18072418649720298,0.41331276915090104
LAERTES,0.4964204350668486,1.4417398283246519,-2.4941275765756936,-2.973133704467617,5.916522926065847,-0.9870739245816575,-0.5542014460116692,-0.16749462958104697
HORATIO,-2.3774002835381878,2.0260853683623266,-1.8596640079132,1.9938719877144133,0.060143717240142114,5.4377694250130215,0.01729688189551996,-0.955277764215117
HAMLET,1.1615030209344392,-1.71570515620272,-0.7131157744455959,-0.9795247034313066,-0.6872002697616796,1.062778734315741,0.37168250794892627,4.083951732175503
POLONIUS,0.19697125630035098,-6.592783083774842,-0.3919442158801984,3.284495402554205,-0.029450569154009808,-0.7224730537866557,-3.137257146586137,-0.6622111972880174
OPHELIA,-2.4170031347319494,0.2805369389398604,8.258226176621715,2.111627815112557,1.6401179863616577,-0.3740739211208815,1.339472444065887,0.04367446288996746
